b,q,mean,stdev,delta
0.20186477272663028,4.481305866245102,0.04978818444602979,0.002000071187011505,0.9661041271046048
0.4223778552391515,2.8352195515326954,0.012941465808288082,0.002183448524511303,0.948439174675812
0.1151676774434035,2.2409801541312753,0.010301429284575267,0.004735960482329467,0.9565692929818087
0.33521170329916816,3.734769118590497,0.01759218881727155,0.0013666482897503336,0.97064238115124
0.3678933938032172,2.8978834396548847,0.01257182487546292,0.002676658621256817,0.9651552764869945
0.4206630063657474,3.1584124526773114,0.026102280016956657,0.004231559329727365,0.9876320091282822
0.12152477565345543,4.304005630726968,0.01003069939835788,0.0034849232725515603,0.9538223993899962
0.2457345767114351,3.7301933858086547,0.048631050193819594,0.0017501675412712801,0.9420676521994307
0.2501688414984181,2.590411353430185,0.04472919054325776,0.0038415195714643275,0.9611175137646686
0.3176310683767939,2.313516531073406,0.03178404441516961,0.00283191954784416,0.9450285403830825
0.3238088765942046,4.226672336032404,0.04704618426597377,0.0035057978484239294,0.9710252276027599
0.3915026368143002,3.586102694293877,0.035677104924552276,0.002007661674658767,0.9364162230880851
0.15826084544737815,3.1193717974579043,0.04714203818998237,0.0025075947529056555,0.9411668024613599
0.40746093419943397,3.619831196588884,0.01239449639385424,0.003376091573699637,0.9436490250972996
0.232428338431098,3.1620852390957594,0.03070500562276013,0.0035163367875994836,0.9683746348723926
0.3404349803005141,3.8397528113626223,0.02485438447261388,0.0037000601468490956,0.9793240970520336
0.3561983352604867,3.2248483742488303,0.02915426383612567,0.001815322130331295,0.9597806292138243
0.3780615879582365,2.277418791394387,0.01735551827951148,0.004811740566835119,0.9837200650593408
0.32223941691343644,3.2093295766666934,0.04873497885321674,0.003456275528309118,0.9568489144597816
0.39600706909990513,2.254346967986692,0.025912700706177412,0.004531197945316524,0.9492964809435064
0.3973025825227283,2.6328905746464217,0.04892239302101368,0.004853606266278591,0.9384424225789914
0.270063343676006,3.1786338069220914,0.01217426770580932,0.004938976818361835,0.9727582634216494
