policy,max_P,utility,inertia,reliability
"{'length': 3, 'rbfs': [{'center': 0.41368239792990513, 'radius': 1.7582494888036546, 'weight': 0.5109126982497103}, {'center': 0.965252625348303, 'radius': 1.879156359620261, 'weight': 0.1136453473479848}, {'center': 0.7662979170452832, 'radius': 1.5966408202560842, 'weight': 0.37544195440230493}]}",0.19925048619822852,0.4845879937048351,0.98989898989899,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.3957490294206844, 'radius': 1.7935815085667264, 'weight': 0.591420641951034}, {'center': 0.6079353280431347, 'radius': 1.9998792086766795, 'weight': 0.0018344155772183764}, {'center': 0.7780018325386894, 'radius': 1.5311271388286518, 'weight': 0.40674494247174764}]}",0.18530860589538933,0.4635865085340114,0.98989898989899,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.45493916641888105, 'radius': 1.8901881401243399, 'weight': 0.3999332163130703}, {'center': 0.9143984858334999, 'radius': 1.7675645000960187, 'weight': 0.3574576572327751}, {'center': 0.668853225978054, 'radius': 1.8157871405499344, 'weight': 0.24260912645415456}]}",0.21951034479148407,0.5048171063031366,0.98989898989899,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.3451376653226411, 'radius': 0.4812691502873048, 'weight': 0.396318603225741}, {'center': 0.6456462151352577, 'radius': 1.7118945199017523, 'weight': 0.17868877611802442}, {'center': 0.28570404909428493, 'radius': 1.6394669138027713, 'weight': 0.42499262065623455}]}",0.1698473516112519,0.4517769899448086,0.9797979797979798,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.41368239792990513, 'radius': 1.7582494888036546, 'weight': 0.4940270368794954}, {'center': 0.965252625348303, 'radius': 1.879156359620261, 'weight': 0.14293936288110692}, {'center': 0.7662979170452832, 'radius': 1.5977491489751694, 'weight': 0.3630336002393977}]}",0.2067670341095798,0.4933980206905543,0.98989898989899,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.5435028295285512, 'radius': 1.2691499090425349, 'weight': 0.4976318426869873}, {'center': 0.5184431796650273, 'radius': 1.5668750259300794, 'weight': 0.09514636550981845}, {'center': 0.26148325783495974, 'radius': 0.494871728648522, 'weight': 0.40722179180319434}]}",0.1496227627711516,0.40333538715638173,0.9797979797979798,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.4091773114540986, 'radius': 0.7441118201863053, 'weight': 0.2699986395309908}, {'center': 0.26996956756475154, 'radius': 1.9390160530534768, 'weight': 0.00917088259115594}, {'center': 0.2349575297430313, 'radius': 1.723234116573348, 'weight': 0.7208304778778533}]}",0.11984528014557064,0.3026519555596227,1.0,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.3582566744702812, 'radius': 0.4812691502873048, 'weight': 0.39866227450366076}, {'center': 0.6456462151352577, 'radius': 1.7118945199017523, 'weight': 0.17799505298109788}, {'center': 0.28527790959196636, 'radius': 1.7284250294954493, 'weight': 0.4233426725152415}]}",0.17972022852875022,0.4703219488922449,0.9696969696969697,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.34870296564050435, 'radius': 1.868249922973457, 'weight': 0.3939215612164018}, {'center': 0.9272876254852862, 'radius': 1.7628442632041972, 'weight': 0.3520844797639039}, {'center': 0.7632117114263639, 'radius': 1.959169972162498, 'weight': 0.25399395901969435}]}",0.23555959879786556,0.5146293601650983,0.98989898989899,1.0000000000000007
"{'length': 3, 'rbfs': [{'center': 0.3525888683095574, 'radius': 1.894426889750521, 'weight': 0.37397853501165884}, {'center': 0.5113599537230534, 'radius': 1.4161664707483816, 'weight': 0.07741713436242034}, {'center': 0.26248207082403563, 'radius': 0.4327926538062381, 'weight': 0.5486043306259208}]}",0.12997580241251563,0.3479941360193449,0.98989898989899,1.0000000000000007
